EstablishmentID	InspectionID	EstablishmentName	PlaceName	Address	Address2	City	State	Zip	TypeDescription	Latitude	Longitude	InspectionDate	Score	Grade	NameSearch	Intersection

27867	1104831	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-05-24 00:00:00	98	A	FUNNELCAKE	

27867	1132274	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-25 00:00:00	100	A	FUNNELCAKE	

27867	1132280	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-24 00:00:00	100	A	FUNNELCAKE	

27867	1133196	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-20 00:00:00	97		FUNNELCAKE	

27867	1133197	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-21 00:00:00	100		FUNNELCAKE	

27867	1133198	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-22 00:00:00	100		FUNNELCAKE	

27867	1133199	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-23 00:00:00	100		FUNNELCAKE	

27867	1133200	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-24 00:00:00	100		FUNNELCAKE	

27867	1133201	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-25 00:00:00	95		FUNNELCAKE	

27867	1133448	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-25 00:00:00	100		FUNNELCAKE	

27867	1133449	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-26 00:00:00	100		FUNNELCAKE	

27867	1133450	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-27 00:00:00	100		FUNNELCAKE	

27867	1133451	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-28 00:00:00	100		FUNNELCAKE	

27867	1133452	FUNNEL CAKE #5	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-29 00:00:00	100		FUNNELCAKE	

28520	1105062	SANDWICH TRAILER #4	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-05-24 00:00:00	98	A	SANDWICHTRAILER	

28520	1135564	SANDWICH TRAILER #4	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-09-04 00:00:00	100	A	SANDWICHTRAILER	

28520	1142842	SANDWICH TRAILER #4	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-20 00:00:00	98		SANDWICHTRAILER	

28520	1142844	SANDWICH TRAILER #4	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-21 00:00:00	100		SANDWICHTRAILER	

28520	1142846	SANDWICH TRAILER #4	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-22 00:00:00	100		SANDWICHTRAILER	

28520	1142848	SANDWICH TRAILER #4	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-23 00:00:00	100		SANDWICHTRAILER	

28520	1142851	SANDWICH TRAILER #4	 	STATEWIDE MOBILE		LOUISVILLE	KY	40206	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2015-08-24 00:00:00	91		SANDWICHTRAILER	

