ADDRESS,OPERATION NAME,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL # CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
"401  EAST Jefferson STREET,  Syracuse",NYC Pickle Deli & Grill/Inactive,07/12/2012,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,4,1,14,Onondaga County,ONONDAGA,4912      ,401  EAST Jefferson STREET,Syracuse,13202    ,330100,SYRACUSE,,Food Service Establishment,Restaurant,,RNGK1817 Inc.,,,768552,Inspection,,NY,,
"9689 Brewerton ROAD,  Brewerton",Rosie's Corner II/Inactive,01/05/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,13,Onondaga County,ONONDAGA,793       ,9689 Brewerton ROAD,Brewerton,13029    ,335100,CICERO,01/31/2002,Food Service Establishment,Restaurant,,"Rosie's Corner, Inc.",,,293236,Inspection,,NY,,
"5501 Bartell ROAD,  Brewerton",Lin Li's Chinese Restaurant/Inactive,03/20/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,3,0,19,Onondaga County,ONONDAGA,2024      ,5501 Bartell ROAD,Brewerton,13029    ,335100,CICERO,01/31/2002,Food Service Establishment,Restaurant,,,Keng,Jiang Zhi,294208,Inspection,,NY,43.232787,-76.136248
"205 EAST Seneca STREET,  Manlius",Ling Ling Chinese Restaurant/Inactive,08/14/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,3,2,8,Onondaga County,ONONDAGA,1208      ,205 EAST Seneca STREET,Manlius,13104    ,335900,MANLIUS,01/31/2002,Food Service Establishment,Restaurant,,,Helen L. F. Chin,Helen,293578,Re-Inspection,,NY,,
"475 Irving AVENUE,  Syracuse",Mimi's Bakery & Café at Madison Irving/Inactive,04/25/2007,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,6,6,Onondaga County,ONONDAGA,1886      ,475 Irving AVENUE,Syracuse,13210    ,330100,SYRACUSE,01/31/2002,Food Service Establishment,Restaurant,,,,,294090,Inspection,,NY,,
"3380 Milton AVENUE,  Syracuse",Park West Restaurant/Inactive,01/10/2007,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,4,3,40,Onondaga County,ONONDAGA,409       ,3380 Milton AVENUE,Syracuse,13219    ,335000,CAMILLUS,01/31/2002,Food Service Establishment,Restaurant,,Park West Restaurant Inc,,,292900,Inspection,,NY,,
"Northern Lights Mall,  Mattydale",Hunan Empire/Inactive,02/08/2007,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,17,Onondaga County,ONONDAGA,3632      , Northern Lights Mall  ,Mattydale,13211    ,336400,SALINA,,Food Service Establishment,Restaurant,,,Zhu,Guang Rong,542082,Inspection,,NY,,
"260 WEST Genesee STREET,  Syracuse",Mimi's Bakery & Cafe/Inactive,10/31/2007,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,9,Onondaga County,ONONDAGA,65        ,260 WEST Genesee STREET,Syracuse,13202    ,330100,SYRACUSE,01/31/2002,Food Service Establishment,Restaurant,,Mimi's Bakery & Cafe,Nigolian,Gary,292594,Inspection,,NY,43.051739,-76.154402
"620 Erie Boulevard West,  Syracuse",Millwright Café (The)/Inactive,11/16/2007,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,7,Onondaga County,ONONDAGA,1915      ,620 Erie Boulevard West  ,Syracuse,13204    ,330100,SYRACUSE,01/31/2002,Food Service Establishment,Restaurant,,The Millwright Cafe,"Muhlig, Jr.",Richard,294114,Inspection,,NY,43.049304,-76.1639
"421 Montgomery STREET,  Syracuse",John H. Mulroy Civic Center Cafeteria/Inactive,01/14/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,11,Onondaga County,ONONDAGA,1799      ,421 Montgomery STREET,Syracuse,13202    ,330100,SYRACUSE,01/31/2002,Food Service Establishment,Restaurant,,Onondaga Cty. Conv Ctr/War Memorial Mgt. Corp,,,294018,Inspection,,NY,,
