Establishment,Permit Holder,Telephone,Establishment Permit #,Establishment Address Street #,Establishment Address Street Name,Establishment Address Unit #,Establishment Address City,Establishment Address State,Establishment Address Zip Code,Mailing Address Street #,Mailing Address Street Name,Mailing Address Unit #,Mailing Address City,Mailing Address State,Mailing Address Zip Code,Mailing Care Of,PO BOX,Facility Permit #,Business Status,Facility Type,Risk Category,1st Inspection,TMKZone,TMKSection,TMKPlat,TMKParcel,Permit Expire Date
"MATSUMOTO'S OKAZUYA RESTAURANT, LLC",TODD MATSUMOTO,(808)721-7464,8807,"GULICK AVENUE
HONOLULU, HAWAII 96817
(21.34213736428819, -157.86777789566838)",GULICK AVENUE ,   ,HONOLULU,HAWAII,96817,"GULICK AVENUE
HONOLULU, HAWAII 96817
(21.34213736428819, -157.86777789566838)",GULICK AVENUE ,   ,HONOLULU,HAWAII,96817,,,8807,Open,137 New and Renewal 1,Category 1,07/25/2011 12:00:00 AM,1,3,7,24,08/02/2013 12:00:00 AM
RAINBOW SCHOOL,RAINBOW SCHOOL,(808)293-9341,2355,"WAIKALUA ROAD
KANEOHE, HAWAII 96744
(21.413830120578623, -157.79202216179485)",WAIKALUA ROAD ,   ,KANEOHE,HAWAII,96744,"WAIKALUA ROAD
KANEOHE, HAWAII 96744
(21.413830120578623, -157.79202216179485)",WAIKALUA ROAD ,   ,KANEOHE,HAWAII,96744,,,2355,Open,137 New and Renewal 2,Category 2,11/01/2011 12:00:00 AM,4,5,16,12,11/18/2013 12:00:00 AM
SUBWAY KCC,"JUB CO., LTD.",(808)728-4177,13972,"DIAMOND HEAD ROAD
HONOLULU, HAWAII 96816
(21.25787527466879, -157.7989981589516)",DIAMOND HEAD ROAD,   ,HONOLULU,HAWAII,96816,"WOODLAWN DRIVE
HONOLULU, HAWAII 96822
(21.30718330212897, -157.81032287478018)",WOODLAWN DRIVE ,5-106,HONOLULU,HAWAII,96822," SUBWAY MANOA (JUB CO., LTD.)",,13972,Open,137 New and Renewal 2,Category 2,08/23/2010 12:00:00 AM,3,1,42,9,"August 23"", ""2014"
7-ELEVEN STORE #54211,"SEVEN-ELEVEN HAWAII, INC.",(808)526-1711,11849,"SOUTH KING STREET
HONOLULU, HAWAII 96826
(21.28996578888771, -157.8182999635788)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96826,"NUUANU AVENUE
HONOLULU, HAWAII 96817
(21.310000091571197, -157.86425704992365)",NUUANU AVENUE ,2ND FLOOR   ,HONOLULU,HAWAII,96817,MASAE DOTE,,11849,Open,137 New and Renewal 2,Category 2,09/29/2011 12:00:00 AM,2,8,24,10,10/15/2013 12:00:00 AM
"L & L WINDWARD CITY, INC.",KWOCK YUM KAM,(808)236-3030,3542,"KANEOHE BAY DRIVE
KANEOHE, HAWAII 96744
(21.4103869130918, -157.77225640632628)",KANEOHE BAY DRIVE,   ,KANEOHE,HAWAII,96744,"KANEOHE BAY DRIVE
KANEOHE, HAWAII 96744
(21.4103869130918, -157.77225640632628)",KANEOHE BAY DRIVE,   ,KANEOHE,HAWAII,96744,,,3542,Open,137 New and Renewal 1,Category 1,02/25/2010 12:00:00 AM,4,5,60,61,"March 18"", ""2014"
"99 CAFE VIETNAMESE CUISINE, LLC","99 CAFE VIETNAMESE, LLC",(808)256-8541,15168,"NORTH KING STREET
HONOLULU, HAWAII 96817
(21.313817713585564, -157.86425255331352)",NORTH KING STREET,   ,HONOLULU,HAWAII,96817,"NORTH KING STREET
HONOLULU, HAWAII 96817
(21.313817713585564, -157.86425255331352)",NORTH KING STREET,   ,HONOLULU,HAWAII,96817,,,15168,Open,137 New and Renewal 1,Category 1,01/03/2012 12:00:00 AM,1,7,3,29,01/03/2014 12:00:00 AM
PACO ALAFANSO (CW853),PACO & YOWANINA ALAFANSO,(808)842-1432,13215,"KALAUNU STREET
HONOLULU, HAWAII 96819
(21.349914637554416, -157.86357178895008)",KALAUNU STREET ,   ,HONOLULU,HAWAII,96819,"KALAUNU STREET
HONOLULU, HAWAII 96819
(21.349914637554416, -157.86357178895008)",KALAUNU STREET ,   ,HONOLULU,HAWAII,96819,,,13215,Open,137 New and Renewal 3,Category 3,10/10/2011 12:00:00 AM,1,3,22,1,10/01/2013 12:00:00 AM
ON STAGE DRINKS & GRINDS,MERLITA SHERMAN,(808)306-7799,7663,"KAPAHULU AVENUE
HONOLULU, HAWAII 96816
(21.287804823888052, -157.81283381628828)",KAPAHULU AVENUE ,   ,HONOLULU,HAWAII,96816,"KAPAHULU AVENUE
HONOLULU, HAWAII 96816
(21.287804823888052, -157.81283381628828)",KAPAHULU AVENUE ,   ,HONOLULU,HAWAII,96816,,,7663,Open,137 New and Renewal 3,Category 3,06/02/2011 12:00:00 AM,2,7,32,6,06/26/2013 12:00:00 AM
SAIGON NOODLE HOUSE #3,LOAN UYENO,(808)387-6556,15538,"OLIVE AVENUE
WAHIAWA, HAWAII 96786
(21.494482516051647, -158.02921519314802)",OLIVE AVENUE,,WAHIAWA,HAWAII,96786,"OLIVE AVENUE
WAHIAWA, HAWAII 96786
(21.494482516051647, -158.02921519314802)",OLIVE AVENUE,,WAHIAWA,HAWAII,96786,,,15538,Open,137 New and Renewal 2,Category 2,06/07/2012 12:00:00 AM,7,4,3,44,06/07/2014 12:00:00 AM
KAPAHULU STOP & SHOP,POK CHA NISHI,(808)737-0443,11430,"KAPAHULU AVENUE
HONOLULU, HAWAII 96815
(21.273487832608467, -157.81652989273888)",KAPAHULU AVENUE ,   ,HONOLULU,HAWAII,96815,"KAPAHULU AVENUE
HONOLULU, HAWAII 96815
(21.273487832608467, -157.81652989273888)",KAPAHULU AVENUE ,   ,HONOLULU,HAWAII,96815,,,11430,Open,137 New and Renewal 2,Category 2,05/24/2011 12:00:00 AM,3,1,22,6,05/16/2013 12:00:00 AM
